epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.22605,1.41182,2.81448,1.75479,0.61343,0.88256,0.8879,0.6156,1.39257,1.32754,1.2503,0,0,0
2,3.16493,1.24893,2.62073,1.44082,0.59672,0.89734,0.88811,0.61799,1.40457,1.3516,1.25644,1.17822e-06,1.17822e-06,1.17822e-06
3,4.53701,1.14149,4.21673,1.49511,0.5791,0.83333,0.87397,0.61303,1.41934,1.38376,1.26305,2.33288e-06,2.33288e-06,2.33288e-06
4,5.83811,1.26592,2.66746,1.44865,0.54582,0.85514,0.87204,0.60505,1.45368,1.41865,1.27875,3.46397e-06,3.46397e-06,3.46397e-06
5,7.1468,1.33646,2.85521,1.63047,0.57008,0.83333,0.87216,0.59728,1.47986,1.45248,1.29525,4.5715e-06,4.5715e-06,4.5715e-06
6,8.45313,1.63146,4.70832,1.92352,0.85379,0.57273,0.87404,0.58056,1.49099,1.50762,1.31009,5.65548e-06,5.65548e-06,5.65548e-06
7,9.80595,1.39116,2.07994,1.54936,0.83807,0.56667,0.88594,0.57715,1.50515,1.54795,1.3206,6.71588e-06,6.71588e-06,6.71588e-06
8,11.1307,1.51714,3.14015,1.78288,0.83515,0.56667,0.88234,0.5469,1.51815,1.62899,1.34185,7.75273e-06,7.75273e-06,7.75273e-06
9,12.4192,1.07359,2.59058,1.35449,0.81781,0.56667,0.77945,0.5384,1.54336,1.69219,1.36043,8.76602e-06,8.76602e-06,8.76602e-06
10,13.7042,0.97612,3.33829,1.49101,0.79684,0.56667,0.74397,0.53444,1.55456,1.73854,1.37654,9.75574e-06,9.75574e-06,9.75574e-06
11,14.9966,1.35197,2.74267,1.53578,0.79577,0.58333,0.74426,0.5345,1.55382,1.74977,1.37635,1.07219e-05,1.07219e-05,1.07219e-05
12,16.2903,1.03537,2.0476,1.3949,0.7751,0.58333,0.74434,0.53467,1.55241,1.76762,1.37515,1.16645e-05,1.16645e-05,1.16645e-05
13,17.5657,0.96692,2.56504,1.23012,0.74871,0.58333,0.74416,0.53464,1.52386,1.78185,1.35909,1.25835e-05,1.25835e-05,1.25835e-05
14,18.8557,1.38079,2.41841,1.79171,0.76626,0.58333,0.74312,0.52635,1.512,1.81174,1.35402,1.3479e-05,1.3479e-05,1.3479e-05
15,20.1627,0.81744,1.69401,1.11952,0.79003,0.41667,0.74164,0.53949,1.50666,1.82814,1.34779,1.43509e-05,1.43509e-05,1.43509e-05
16,21.4648,1.08437,2.12595,1.51749,0.92698,0.37343,0.74164,0.53458,1.51862,1.85127,1.35569,1.51993e-05,1.51993e-05,1.51993e-05
17,22.7485,0.8242,1.64691,1.15798,0.92693,0.37333,0.65989,0.49842,1.52016,1.8817,1.35927,1.60241e-05,1.60241e-05,1.60241e-05
18,23.996,1.12204,1.60271,1.3437,0.92693,0.37333,0.65989,0.49842,1.52016,1.8817,1.35927,1.68253e-05,1.68253e-05,1.68253e-05
19,25.3072,0.9694,1.6819,1.16218,0.92588,0.37339,0.63233,0.48465,1.56039,1.97415,1.3707,1.7603e-05,1.7603e-05,1.7603e-05
20,26.5684,1.01549,1.59984,1.32194,0.92588,0.37339,0.63233,0.48465,1.56039,1.97415,1.3707,1.83571e-05,1.83571e-05,1.83571e-05
21,27.909,1.24527,2.74263,1.63756,0.92011,0.37328,0.60379,0.46529,1.59255,2.07026,1.40795,1.90876e-05,1.90876e-05,1.90876e-05
22,29.1583,1.27751,2.46765,1.67902,0.92011,0.37328,0.60379,0.46529,1.59255,2.07026,1.40795,1.97946e-05,1.97946e-05,1.97946e-05
23,30.4572,0.93998,1.89104,1.4095,0.91646,0.37315,0.60472,0.46334,1.59549,2.12241,1.41066,2.0478e-05,2.0478e-05,2.0478e-05
24,31.7152,1.04597,2.15249,1.52561,0.91646,0.37315,0.60472,0.46334,1.59549,2.12241,1.41066,2.11379e-05,2.11379e-05,2.11379e-05
25,33.0071,0.84646,1.6248,1.25358,0.91915,0.37317,0.58448,0.44125,1.6222,2.20964,1.44306,2.17741e-05,2.17741e-05,2.17741e-05
26,34.2563,0.95723,1.90133,1.37891,0.91915,0.37317,0.58448,0.44125,1.6222,2.20964,1.44306,2.23869e-05,2.23869e-05,2.23869e-05
27,35.5495,0.87211,1.86564,1.37563,0.91463,0.37297,0.5763,0.44035,1.64345,2.25481,1.47165,2.2976e-05,2.2976e-05,2.2976e-05
28,36.8002,0.81531,1.17273,1.17407,0.91463,0.37297,0.5763,0.44035,1.64345,2.25481,1.47165,2.35417e-05,2.35417e-05,2.35417e-05
29,38.0981,0.91593,1.5093,1.25319,0.91525,0.37321,0.57724,0.44037,1.63894,2.26185,1.46774,2.40837e-05,2.40837e-05,2.40837e-05
30,39.3454,1.29492,2.50709,1.57235,0.91525,0.37321,0.57724,0.44037,1.63894,2.26185,1.46774,2.46022e-05,2.46022e-05,2.46022e-05
31,40.6414,0.92084,1.23664,1.22858,0.9163,0.37312,0.57737,0.43943,1.64253,2.26269,1.47425,2.50971e-05,2.50971e-05,2.50971e-05
32,41.9093,0.64197,1.30644,1.13873,0.9163,0.37312,0.57737,0.43943,1.64253,2.26269,1.47425,2.55685e-05,2.55685e-05,2.55685e-05
33,43.1819,0.89346,1.18132,1.48867,0.91885,0.37319,0.46756,0.3401,1.66967,2.28725,1.49132,2.60163e-05,2.60163e-05,2.60163e-05
34,44.4384,0.94835,1.09276,1.27023,0.91885,0.37319,0.46756,0.3401,1.66967,2.28725,1.49132,2.64405e-05,2.64405e-05,2.64405e-05
35,45.8212,0.94316,1.90797,1.30447,0.91542,0.37294,0.45402,0.31962,1.68636,2.29319,1.50547,2.68412e-05,2.68412e-05,2.68412e-05
36,47.0897,0.80253,1.41611,1.20555,0.91542,0.37294,0.45402,0.31962,1.68636,2.29319,1.50547,2.72183e-05,2.72183e-05,2.72183e-05
37,48.3765,0.72038,1.24722,1.13647,0.91862,0.37298,0.45407,0.33652,1.69279,2.31658,1.5176,2.75718e-05,2.75718e-05,2.75718e-05
38,49.6154,0.44692,0.91978,0.95118,0.91862,0.37298,0.45407,0.33652,1.69279,2.31658,1.5176,2.79018e-05,2.79018e-05,2.79018e-05
39,50.9169,0.79401,0.87421,1.08507,0.91868,0.37284,0.45254,0.33631,1.68673,2.35194,1.50607,2.82082e-05,2.82082e-05,2.82082e-05
40,52.1877,0.65172,0.75402,1.06063,0.91868,0.37284,0.45254,0.33631,1.68673,2.35194,1.50607,2.84911e-05,2.84911e-05,2.84911e-05
41,53.476,0.66917,0.89258,1.01392,0.92243,0.37293,0.45302,0.33708,1.70073,2.38001,1.51278,2.87504e-05,2.87504e-05,2.87504e-05
42,54.7108,0.55007,1.5445,1.04134,0.92243,0.37293,0.45302,0.33708,1.70073,2.38001,1.51278,2.89861e-05,2.89861e-05,2.89861e-05
43,56.0123,1.04954,1.33077,1.32317,0.94064,0.38902,0.45853,0.33979,1.70651,2.37823,1.51872,2.91983e-05,2.91983e-05,2.91983e-05
44,57.2778,0.89362,0.89686,1.32018,0.94064,0.38902,0.45853,0.33979,1.70651,2.37823,1.51872,2.93869e-05,2.93869e-05,2.93869e-05
45,58.5748,0.60574,0.76473,1.00049,0.94161,0.38896,0.45117,0.33259,1.72754,2.41539,1.52626,2.9552e-05,2.9552e-05,2.9552e-05
46,59.8303,0.73075,0.96619,1.16543,0.94161,0.38896,0.45117,0.33259,1.72754,2.41539,1.52626,2.96935e-05,2.96935e-05,2.96935e-05
47,61.1042,0.83456,1.68803,1.2554,0.9419,0.39114,0.44923,0.32391,1.73649,2.42422,1.51857,2.98114e-05,2.98114e-05,2.98114e-05
48,62.3382,0.91929,1.4543,1.26026,0.9419,0.39114,0.44923,0.32391,1.73649,2.42422,1.51857,2.99058e-05,2.99058e-05,2.99058e-05
49,63.6002,0.83346,0.91897,1.29589,0.94129,0.39237,0.45128,0.32486,1.75629,2.40465,1.53731,2.99766e-05,2.99766e-05,2.99766e-05
50,64.8092,0.68294,1.07423,1.21655,0.94129,0.39237,0.45128,0.32486,1.75629,2.40465,1.53731,3.00238e-05,3.00238e-05,3.00238e-05
51,66.1022,0.78921,0.85297,1.14558,0.94217,0.3923,0.45118,0.32465,1.75068,2.39966,1.52763,3.00475e-05,3.00475e-05,3.00475e-05
52,67.3515,0.80471,0.86913,1.22175,0.94217,0.3923,0.45118,0.32465,1.75068,2.39966,1.52763,3.00476e-05,3.00476e-05,3.00476e-05
53,68.6712,0.64516,0.70422,1.19523,0.94217,0.3923,0.45118,0.32465,1.75068,2.39966,1.52763,3.00242e-05,3.00242e-05,3.00242e-05
54,70.043,0.76849,0.84458,1.23156,0.94372,0.393,0.42259,0.29954,1.75743,2.40738,1.53096,2.99772e-05,2.99772e-05,2.99772e-05
55,71.3363,0.69253,0.8996,1.04358,0.94372,0.393,0.42259,0.29954,1.75743,2.40738,1.53096,2.99066e-05,2.99066e-05,2.99066e-05
56,72.629,1.17836,1.64324,1.57194,0.94372,0.393,0.42259,0.29954,1.75743,2.40738,1.53096,2.98125e-05,2.98125e-05,2.98125e-05
57,73.9842,1.0289,1.43728,1.36021,0.94575,0.39049,0.42301,0.29153,1.75533,2.42042,1.52459,2.96948e-05,2.96948e-05,2.96948e-05
58,75.2794,0.81806,1.38123,1.26722,0.94575,0.39049,0.42301,0.29153,1.75533,2.42042,1.52459,2.95535e-05,2.95535e-05,2.95535e-05
59,76.577,0.75386,0.73314,1.167,0.94575,0.39049,0.42301,0.29153,1.75533,2.42042,1.52459,2.93887e-05,2.93887e-05,2.93887e-05
60,77.942,0.94427,0.80613,1.48455,0.94506,0.3907,0.42531,0.29167,1.79008,2.44864,1.55639,2.92003e-05,2.92003e-05,2.92003e-05
61,79.2447,0.59937,0.69628,1.06477,0.94506,0.3907,0.42531,0.29167,1.79008,2.44864,1.55639,2.89884e-05,2.89884e-05,2.89884e-05
62,80.5258,0.71041,0.87379,1.05791,0.94506,0.3907,0.42531,0.29167,1.79008,2.44864,1.55639,2.87529e-05,2.87529e-05,2.87529e-05
63,81.8232,0.74472,0.81308,1.14449,0.94548,0.3913,0.42542,0.27555,1.82001,2.47014,1.58761,2.84938e-05,2.84938e-05,2.84938e-05
64,83.0593,0.65985,0.69461,1.08337,0.94548,0.3913,0.42542,0.27555,1.82001,2.47014,1.58761,2.82112e-05,2.82112e-05,2.82112e-05
65,84.3002,0.58735,0.8349,1.1826,0.94548,0.3913,0.42542,0.27555,1.82001,2.47014,1.58761,2.7905e-05,2.7905e-05,2.7905e-05
66,85.5857,0.62775,0.90515,1.07901,0.94509,0.39089,0.42338,0.30836,1.81727,2.4716,1.5664,2.75753e-05,2.75753e-05,2.75753e-05
67,86.8243,0.69419,1.03185,1.0729,0.94509,0.39089,0.42338,0.30836,1.81727,2.4716,1.5664,2.7222e-05,2.7222e-05,2.7222e-05
68,88.0593,0.94832,1.73998,1.34839,0.94509,0.39089,0.42338,0.30836,1.81727,2.4716,1.5664,2.68451e-05,2.68451e-05,2.68451e-05
69,89.3563,0.59055,0.99274,1.10446,0.94524,0.39213,0.42213,0.30848,1.83318,2.50096,1.58183,2.64447e-05,2.64447e-05,2.64447e-05
70,90.5715,0.89845,0.87434,1.36438,0.94524,0.39213,0.42213,0.30848,1.83318,2.50096,1.58183,2.60207e-05,2.60207e-05,2.60207e-05
71,91.8208,0.99261,1.28803,1.37267,0.94524,0.39213,0.42213,0.30848,1.83318,2.50096,1.58183,2.55731e-05,2.55731e-05,2.55731e-05
72,93.0928,0.58101,0.59878,1.04212,0.94656,0.39057,0.42193,0.29177,1.8427,2.5193,1.58881,2.5102e-05,2.5102e-05,2.5102e-05
73,94.3305,0.66084,0.88735,1.04919,0.94656,0.39057,0.42193,0.29177,1.8427,2.5193,1.58881,2.46073e-05,2.46073e-05,2.46073e-05
74,95.5638,0.65259,0.68792,1.15587,0.94656,0.39057,0.42193,0.29177,1.8427,2.5193,1.58881,2.40891e-05,2.40891e-05,2.40891e-05
75,96.8368,0.6917,0.57315,1.12405,0.94542,0.3909,0.42227,0.29367,1.82215,2.49648,1.55366,2.35472e-05,2.35472e-05,2.35472e-05
76,98.0994,0.57883,0.84819,1.09931,0.94542,0.3909,0.42227,0.29367,1.82215,2.49648,1.55366,2.29819e-05,2.29819e-05,2.29819e-05
77,99.402,0.61545,0.58243,1.07358,0.94542,0.3909,0.42227,0.29367,1.82215,2.49648,1.55366,2.23929e-05,2.23929e-05,2.23929e-05
78,100.769,0.79136,1.0874,1.13845,0.94489,0.3918,0.42249,0.29356,1.81281,2.46698,1.53273,2.17805e-05,2.17805e-05,2.17805e-05
79,102.054,0.5831,0.71714,1.09839,0.94489,0.3918,0.42249,0.29356,1.81281,2.46698,1.53273,2.11444e-05,2.11444e-05,2.11444e-05
80,103.342,0.63812,0.76601,1.09451,0.94489,0.3918,0.42249,0.29356,1.81281,2.46698,1.53273,2.04848e-05,2.04848e-05,2.04848e-05
81,104.707,0.50734,0.45911,0.98635,0.94027,0.38958,0.42368,0.29477,1.82668,2.46642,1.5421,1.98016e-05,1.98016e-05,1.98016e-05
82,106.046,0.73519,0.68793,1.14654,0.94027,0.38958,0.42368,0.29477,1.82668,2.46642,1.5421,1.90949e-05,1.90949e-05,1.90949e-05
83,107.343,0.79736,0.78083,1.18892,0.94027,0.38958,0.42368,0.29477,1.82668,2.46642,1.5421,1.83646e-05,1.83646e-05,1.83646e-05
84,108.696,0.5778,0.5885,1.02441,0.93756,0.38858,0.42227,0.29377,1.82546,2.49706,1.54341,1.76107e-05,1.76107e-05,1.76107e-05
85,109.982,0.64405,0.79423,1.16137,0.93756,0.38858,0.42227,0.29377,1.82546,2.49706,1.54341,1.68333e-05,1.68333e-05,1.68333e-05
86,111.275,0.85512,0.8346,1.13109,0.93756,0.38858,0.42227,0.29377,1.82546,2.49706,1.54341,1.60323e-05,1.60323e-05,1.60323e-05
87,112.565,0.65958,0.76545,1.01585,0.93756,0.38858,0.42227,0.29377,1.82546,2.49706,1.54341,1.52077e-05,1.52077e-05,1.52077e-05
88,113.932,0.80396,0.86374,1.39171,0.9377,0.38791,0.42149,0.29372,1.80359,2.49665,1.5132,1.43596e-05,1.43596e-05,1.43596e-05
89,115.219,1.07786,1.04175,1.51233,0.9377,0.38791,0.42149,0.29372,1.80359,2.49665,1.5132,1.34879e-05,1.34879e-05,1.34879e-05
90,116.524,0.58291,0.65971,0.9773,0.9377,0.38791,0.42149,0.29372,1.80359,2.49665,1.5132,1.25927e-05,1.25927e-05,1.25927e-05
91,117.884,0.5176,0.52385,0.92481,0.9377,0.38791,0.42149,0.29372,1.80359,2.49665,1.5132,1.16739e-05,1.16739e-05,1.16739e-05
92,119.296,0.67742,0.72129,0.95795,0.94456,0.38802,0.42124,0.29228,1.8067,2.56813,1.50829,1.07315e-05,1.07315e-05,1.07315e-05
93,120.601,0.40312,0.47418,0.95213,0.94456,0.38802,0.42124,0.29228,1.8067,2.56813,1.50829,9.76562e-06,9.76562e-06,9.76562e-06
94,121.902,0.55074,0.53081,0.89124,0.94456,0.38802,0.42124,0.29228,1.8067,2.56813,1.50829,8.77613e-06,8.77613e-06,8.77613e-06
95,123.15,0.42691,0.50424,0.92887,0.94456,0.38802,0.42124,0.29228,1.8067,2.56813,1.50829,7.76308e-06,7.76308e-06,7.76308e-06
96,124.447,0.44886,0.4704,0.97139,0.93932,0.38333,0.41919,0.29051,1.82274,2.61649,1.53818,6.72648e-06,6.72648e-06,6.72648e-06
97,125.736,0.66108,0.69649,1.01855,0.93932,0.38333,0.41919,0.29051,1.82274,2.61649,1.53818,5.6663e-06,5.6663e-06,5.6663e-06
98,127.092,0.48551,0.53294,0.91059,0.93932,0.38333,0.41919,0.29051,1.82274,2.61649,1.53818,4.58257e-06,4.58257e-06,4.58257e-06
99,128.4,0.55615,0.59174,0.95561,0.93932,0.38333,0.41919,0.29051,1.82274,2.61649,1.53818,3.47528e-06,3.47528e-06,3.47528e-06
100,129.758,0.4666,0.50223,0.9666,0.94547,0.38113,0.41932,0.28995,1.80021,2.65995,1.50758,2.34442e-06,2.34442e-06,2.34442e-06
