epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2064,2.61422,4.16882,3.19784,0.71026,0.86667,0.88147,0.68638,2.90402,2.44918,2.43854,0,0,0
2,101.16,2.53551,5.17421,3.03471,0.67335,0.86667,0.8711,0.68321,2.8968,2.43296,2.43337,1.17822e-06,1.17822e-06,1.17822e-06
3,103.05,2.02928,5.9227,2.87455,0.69236,0.86667,0.89531,0.68664,2.91536,2.45011,2.44116,2.33288e-06,2.33288e-06,2.33288e-06
4,104.943,2.34592,4.77558,2.78353,0.713,0.86667,0.89474,0.68572,2.91766,2.45856,2.44204,3.46397e-06,3.46397e-06,3.46397e-06
5,106.809,2.28967,4.10812,3.01028,0.70576,0.86667,0.88771,0.68492,2.9285,2.47225,2.44157,4.5715e-06,4.5715e-06,4.5715e-06
6,108.699,3.11146,7.25495,3.73183,0.67817,0.86667,0.88764,0.68519,2.93312,2.48346,2.44105,5.65548e-06,5.65548e-06,5.65548e-06
7,110.604,2.0919,3.03625,2.6235,0.70585,0.86667,0.88763,0.68504,2.93228,2.49575,2.44036,6.71588e-06,6.71588e-06,6.71588e-06
8,112.475,2.26383,5.00323,2.71698,0.72155,0.86667,0.88485,0.68303,2.98704,2.46552,2.49206,7.75273e-06,7.75273e-06,7.75273e-06
9,114.379,2.0939,3.63627,2.71129,0.70903,0.86667,0.88295,0.68488,2.97198,2.47577,2.48586,8.76602e-06,8.76602e-06,8.76602e-06
10,116.266,2.38586,4.27331,3.1974,0.70895,0.78333,0.87047,0.68193,2.97242,2.53997,2.50877,9.75574e-06,9.75574e-06,9.75574e-06
11,118.171,2.48775,3.55598,3.14858,0.70398,0.78333,0.87046,0.6821,2.98455,2.55891,2.51728,1.07219e-05,1.07219e-05,1.07219e-05
12,120.07,2.05261,2.7245,2.90876,0.69675,0.78333,0.87031,0.66135,2.99673,2.59355,2.52165,1.16645e-05,1.16645e-05,1.16645e-05
13,121.965,1.70891,2.87691,2.21269,0.68952,0.78333,0.87033,0.68206,3.00566,2.60666,2.52396,1.25835e-05,1.25835e-05,1.25835e-05
14,123.863,1.96012,3.27013,2.93103,0.6836,0.78333,0.87053,0.6608,3.018,2.64496,2.53205,1.3479e-05,1.3479e-05,1.3479e-05
15,125.769,1.3308,2.17278,2.04461,0.67778,0.78333,0.87055,0.65892,3.0152,2.6607,2.5314,1.43509e-05,1.43509e-05,1.43509e-05
16,127.705,2.30759,2.96006,3.08736,0.67611,0.78333,0.86814,0.65797,2.96983,2.87204,2.49861,1.51993e-05,1.51993e-05,1.51993e-05
17,129.641,1.49369,2.22824,2.20779,0.67492,0.78333,0.86669,0.65731,2.97899,2.90293,2.50211,1.60241e-05,1.60241e-05,1.60241e-05
18,131.479,2.03529,2.12872,2.5558,0.67492,0.78333,0.86669,0.65731,2.97899,2.90293,2.50211,1.68253e-05,1.68253e-05,1.68253e-05
19,133.385,1.52721,2.31393,2.0764,0.68243,0.78333,0.86423,0.65436,3.01963,2.88595,2.54574,1.7603e-05,1.7603e-05,1.7603e-05
20,135.178,1.95963,2.13048,2.51701,0.68243,0.78333,0.86423,0.65436,3.01963,2.88595,2.54574,1.83571e-05,1.83571e-05,1.83571e-05
21,137.078,1.89394,3.6253,2.83857,0.66811,0.78333,0.86336,0.65796,3.02133,2.94105,2.55186,1.90876e-05,1.90876e-05,1.90876e-05
22,138.892,2.23034,3.47437,3.00349,0.66811,0.78333,0.86336,0.65796,3.02133,2.94105,2.55186,1.97946e-05,1.97946e-05,1.97946e-05
23,140.755,1.79991,2.56087,2.63789,0.97291,0.52809,0.86393,0.65023,3.00786,2.98841,2.54856,2.0478e-05,2.0478e-05,2.0478e-05
24,142.662,2.29338,2.78842,3.1844,0.97291,0.52809,0.86393,0.65023,3.00786,2.98841,2.54856,2.11379e-05,2.11379e-05,2.11379e-05
25,144.523,1.72696,2.01239,2.46449,0.67463,0.76667,0.86115,0.64575,3.01261,3.04227,2.55619,2.17741e-05,2.17741e-05,2.17741e-05
26,146.318,1.81484,2.08551,2.56882,0.67463,0.76667,0.86115,0.64575,3.01261,3.04227,2.55619,2.23869e-05,2.23869e-05,2.23869e-05
27,148.188,1.72596,1.63962,2.64025,0.68533,0.76656,0.86306,0.64485,3.02356,3.10836,2.5642,2.2976e-05,2.2976e-05,2.2976e-05
28,150.003,1.42312,1.74523,2.12729,0.68533,0.76656,0.86306,0.64485,3.02356,3.10836,2.5642,2.35417e-05,2.35417e-05,2.35417e-05
29,151.919,1.76384,2.04879,2.37834,0.68971,0.76514,0.86203,0.64536,3.01708,3.11897,2.55182,2.40837e-05,2.40837e-05,2.40837e-05
30,153.797,2.25199,2.92849,2.84076,0.68971,0.76514,0.86203,0.64536,3.01708,3.11897,2.55182,2.46022e-05,2.46022e-05,2.46022e-05
31,155.701,1.76995,1.74926,2.36597,0.67948,0.75,0.86161,0.64069,3.01883,3.14713,2.55154,2.50971e-05,2.50971e-05,2.50971e-05
32,157.564,1.40633,1.79987,2.35631,0.67948,0.75,0.86161,0.64069,3.01883,3.14713,2.55154,2.55685e-05,2.55685e-05,2.55685e-05
33,159.504,1.27324,2.17897,2.568,0.68258,0.75,0.85827,0.64002,3.02703,3.22907,2.55293,2.60163e-05,2.60163e-05,2.60163e-05
34,161.341,1.7215,1.46772,2.26566,0.68258,0.75,0.85827,0.64002,3.02703,3.22907,2.55293,2.64405e-05,2.64405e-05,2.64405e-05
35,163.233,1.38356,3.60188,2.33671,0.69752,0.75,0.85899,0.63403,3.02685,3.2889,2.49967,2.68412e-05,2.68412e-05,2.68412e-05
36,165.08,1.44074,1.68179,2.09046,0.69752,0.75,0.85899,0.63403,3.02685,3.2889,2.49967,2.72183e-05,2.72183e-05,2.72183e-05
37,167.101,1.43698,1.49031,2.25347,0.95966,0.52987,0.85858,0.62986,3.01382,3.32865,2.49002,2.75718e-05,2.75718e-05,2.75718e-05
38,168.982,0.95185,1.33148,1.99352,0.95966,0.52987,0.85858,0.62986,3.01382,3.32865,2.49002,2.79018e-05,2.79018e-05,2.79018e-05
39,170.936,1.09889,1.52191,1.97161,0.95369,0.53048,0.85681,0.62978,3.00717,3.37365,2.48635,2.82082e-05,2.82082e-05,2.82082e-05
40,172.837,1.53272,1.31479,2.19822,0.95369,0.53048,0.85681,0.62978,3.00717,3.37365,2.48635,2.84911e-05,2.84911e-05,2.84911e-05
41,174.724,1.27793,0.90216,2.02948,0.93915,0.53192,0.85034,0.62169,2.9972,3.44437,2.48063,2.87504e-05,2.87504e-05,2.87504e-05
42,176.487,1.38377,1.83392,2.19673,0.93915,0.53192,0.85034,0.62169,2.9972,3.44437,2.48063,2.89861e-05,2.89861e-05,2.89861e-05
43,178.533,1.52539,1.81752,2.27359,0.93375,0.53263,0.84914,0.62051,3.03047,3.56604,2.49046,2.91983e-05,2.91983e-05,2.91983e-05
44,180.413,1.74308,1.41942,2.69233,0.93375,0.53263,0.84914,0.62051,3.03047,3.56604,2.49046,2.93869e-05,2.93869e-05,2.93869e-05
45,182.409,1.02291,0.9887,1.85802,0.92972,0.53298,0.8447,0.62118,2.90347,3.63109,2.43247,2.9552e-05,2.9552e-05,2.9552e-05
46,184.562,1.21316,1.12148,2.08702,0.92972,0.53298,0.8447,0.62118,2.90347,3.63109,2.43247,2.96935e-05,2.96935e-05,2.96935e-05
47,186.626,1.80965,2.23684,2.62971,0.92297,0.54194,0.84225,0.61851,3.08552,3.5716,2.56088,2.98114e-05,2.98114e-05,2.98114e-05
48,188.519,1.52071,2.14861,2.28343,0.92297,0.54194,0.84225,0.61851,3.08552,3.5716,2.56088,2.99058e-05,2.99058e-05,2.99058e-05
49,190.357,1.62068,1.32904,2.60287,0.91543,0.55018,0.84309,0.61884,3.03448,3.72759,2.48039,2.99766e-05,2.99766e-05,2.99766e-05
50,192.115,1.29127,1.33265,2.45517,0.91543,0.55018,0.84309,0.61884,3.03448,3.72759,2.48039,3.00238e-05,3.00238e-05,3.00238e-05
51,193.964,1.40029,0.89107,2.18676,0.88705,0.55441,0.75913,0.54387,3.03897,3.78862,2.48371,3.00475e-05,3.00475e-05,3.00475e-05
